"","date_time","gw_va_shen","p_va_shen","sw_va_shen","r_va_shen","gw_va_nova","p_va_nova","sw_va_nova","r_va_nova","region_md_cent","region_md_west"
"182",2038-07-01,3,0,0,0,0,0,0,0,0,0
"183",2038-07-02,3,0,0,0,0,0,0,0,0,0
"184",2038-07-03,3,0,0,0,0,0,0,0,0,0
"185",2038-07-04,3,0,0,0,0,0,0,0,0,0
"186",2038-07-05,3,0,0,0,0,0,0,0,0,0
"187",2038-07-06,3,0,0,0,0,0,0,0,0,0
"188",2038-07-07,3,0,0,0,0,0,1,0,0,0
"189",2038-07-08,3,0,0,0,0,0,0,0,0,0
"190",2038-07-09,3,0,0,0,0,0,0,0,0,0
"191",2038-07-10,3,0,0,0,0,0,0,0,0,0
"192",2038-07-11,3,0,0,0,0,0,0,0,0,0
"193",2038-07-12,3,0,0,0,0,0,0,0,0,0
"194",2038-07-13,3,0,0,0,0,0,0,0,0,0
"195",2038-07-14,3,0,0,0,0,0,0,0,0,0
"196",2038-07-15,3,0,0,0,0,0,0,0,0,0
"197",2038-07-16,3,0,0,0,0,0,1,0,0,0
"198",2038-07-17,3,0,0,0,0,0,1,0,0,0
"199",2038-07-18,3,0,0,0,0,0,1,0,0,0
"200",2038-07-19,3,0,0,0,0,0,1,0,0,0
"201",2038-07-20,3,0,0,0,0,0,1,0,0,0
"202",2038-07-21,3,0,1,0,0,0,2,0,0,0
"203",2038-07-22,3,0,1,0,0,0,2,0,0,0
"204",2038-07-23,3,0,1,0,0,0,2,0,0,0
"205",2038-07-24,3,0,1,0,0,0,2,0,0,0
"206",2038-07-25,3,0,1,0,1,0,2,0,0,0
"207",2038-07-26,3,0,1,0,1,0,2,0,0,0
"208",2038-07-27,3,0,1,0,1,0,2,0,0,0
"209",2038-07-28,3,0,1,0,1,0,2,0,0,0
"210",2038-07-29,3,0,2,0,1,0,3,0,0,0
"211",2038-07-30,3,0,2,0,1,0,3,0,0,0
"212",2038-07-31,3,0,2,0,1,0,1,0,0,0
"213",2038-08-01,2,0,1,1,0,0,1,1,0,0
"214",2038-08-02,2,0,1,1,0,0,1,1,0,0
"215",2038-08-03,2,0,1,1,0,0,1,1,0,0
"216",2038-08-04,3,0,1,1,0,0,1,1,0,0
"217",2038-08-05,3,0,1,1,0,0,1,1,0,0
"218",2038-08-06,3,0,2,1,0,0,1,1,0,0
"219",2038-08-07,3,0,2,1,0,0,2,1,0,0
"220",2038-08-08,3,0,2,1,1,0,3,1,0,0
"221",2038-08-09,3,0,2,1,1,0,3,1,0,0
"222",2038-08-10,3,0,2,1,1,0,0,1,1,0
"223",2038-08-11,3,0,2,1,1,0,0,1,1,0
"224",2038-08-12,3,0,2,1,1,0,0,1,1,0
"225",2038-08-13,3,0,2,1,1,0,0,1,1,0
"226",2038-08-14,3,0,1,1,1,0,0,1,1,0
"227",2038-08-15,3,0,1,1,1,0,0,1,1,0
"228",2038-08-16,3,0,1,1,2,0,0,1,1,0
"229",2038-08-17,3,0,1,1,3,0,0,1,1,0
"230",2038-08-18,3,0,0,1,3,0,0,1,1,0
"231",2038-08-19,3,0,0,1,3,0,0,1,1,0
"232",2038-08-20,3,0,0,1,3,0,0,1,1,0
"233",2038-08-21,3,0,0,1,3,0,0,1,1,0
"234",2038-08-22,3,0,0,1,3,0,0,1,1,0
"235",2038-08-23,3,0,0,1,3,0,0,1,1,0
"236",2038-08-24,3,0,0,1,3,0,1,1,1,0
"237",2038-08-25,3,0,0,1,3,0,3,1,1,0
"238",2038-08-26,3,0,0,1,3,0,3,1,1,0
"239",2038-08-27,3,0,1,1,3,0,3,1,1,0
"240",2038-08-28,3,0,1,1,3,0,3,1,0,0
"241",2038-08-29,3,0,1,1,3,0,3,1,0,0
"242",2038-08-30,3,0,1,1,3,0,3,1,0,0
"243",2038-08-31,3,0,1,1,3,0,3,1,1,0
"244",2038-09-01,1,0,1,1,3,0,3,1,1,0
"245",2038-09-02,1,0,2,1,3,0,3,1,1,0
"246",2038-09-03,1,0,3,1,3,0,3,1,1,0
"247",2038-09-04,1,0,3,1,3,0,3,1,1,0
"248",2038-09-05,1,0,3,1,3,0,3,1,1,0
"249",2038-09-06,1,0,3,1,3,0,3,1,1,0
"250",2038-09-07,1,0,3,1,3,0,3,1,1,0
"251",2038-09-08,1,0,3,1,3,0,1,1,1,0
"252",2038-09-09,1,0,3,1,3,0,1,1,1,0
"253",2038-09-10,1,0,3,1,3,0,1,1,1,1
"254",2038-09-11,1,0,3,1,3,0,1,1,1,1
"255",2038-09-12,1,0,3,1,3,0,1,1,1,0
"256",2038-09-13,1,0,2,1,3,0,1,1,1,0
"257",2038-09-14,1,0,1,1,3,0,1,1,1,0
"258",2038-09-15,1,0,1,1,3,0,2,1,1,0
"259",2038-09-16,1,0,1,1,3,0,3,1,1,0
"260",2038-09-17,1,0,2,1,3,0,3,1,1,0
"261",2038-09-18,1,0,2,1,3,0,1,1,1,0
"262",2038-09-19,1,0,3,1,3,0,1,1,1,0
"263",2038-09-20,1,0,3,1,3,0,1,1,1,0
"264",2038-09-21,1,0,3,1,3,0,1,1,1,0
"265",2038-09-22,1,0,3,1,3,0,0,1,1,0
"266",2038-09-23,1,0,3,1,3,0,0,1,1,0
"267",2038-09-24,1,0,3,1,3,0,0,1,1,0
"268",2038-09-25,1,0,3,1,3,0,0,1,1,0
